id,nom,prénom,date de naissance,adresse rue,adresse code postal,adresse localité,genre
1,Alvarez,Maria,1983-03-06,12 Impasse de l'Adré,13800.0,Istres,F
2,Belkacem,Ibrahima,1983-08-18,5 Impasse de l'Adré,13800.0,Istres,M
3,Nikolić,Hugo,1992-10-26,62 Rue d'Endoume,13007.0,Marseille,M
4,Youssouf,Miguel,1976-09-25,12 Place du Marché des Capucins,13001.0,Marseille,M
5,Alvarez,Noah,1945-05-03,1b Chemin des Aubépines,13700.0,Marignane,M
6,Elbaz,Mehdi,1975-05-26,127 Rue d'Aubagne,13006.0,Marseille,M
7,Traoré,Soumaya,1959-09-04,19 Rue Savorgnan de Brazza,13700.0,Marignane,F
8,Casabianca,Salma,1949-12-20,2 Place Sadi-Carnot,13001.0,Marseille,F
9,Bernard,Rania,1986-11-22,3 Quai Marceau,13500.0,Martigues,F
10,Benkhelifa,Beatriz,1962-10-03,75 Cours Gambetta,13001.0,Marseille,F
11,Perrot,Javier,1960-04-04,20 Traverse Montcault,13013.0,Marseille,M
12,Diallo,Noa,1973-09-25,9 Parc Beaulieu,13700.0,Marignane,F
13,Ricci,Tiago,1975-09-21,55 Les cadestraux D113,13127.0,Vitrolles,M
14,Martin,Salma,1970-01-12,1125 Avenue des Paluds,13400.0,Aubagne,F
15,Haddad,Léa,1949-04-14,326 Avenue de Mazargues,13008.0,Marseille,F
16,Papadopoulos,Sergio,1980-07-13,1125 Avenue des Paluds,13400.0,Aubagne,M
17,Gonzalez,Youssef,1954-02-09,5 Rue de la Verdière,13090.0,Aix-en-Provence,M
18,Ricci,Rayan,1955-04-09,51 Boulevard Herriot,13008.0,Marseille,M
19,Dias,Léa,1964-02-01,275 Rue d'Endoume,13007.0,Marseille,F
20,Aït Ali,Lola,1973-05-16,10 Lotissement L'Escaillon,13320.0,Bouc-Bel-Air,F
21,Traoré,Yasmina,1980-09-18,311 Rue Paradis,13008.0,Marseille,F
22,Bonnet,Matteo,1992-11-26,33 Place de l'Hôtel de Ville,13300.0,Salon-de-Provence,M
23,Abdou,Beatriz,1983-03-31,2 Rue des Peynières,13380.0,Plan-de-Cuques,F
24,Arnaud,Walid,1997-06-02,3 Cours Gambetta,13001.0,Marseille,M
25,Giraud,Chiara,1980-01-28,88 Chemin de Saint-Pierre,13800.0,Istres,F
26,Martin,Gabriel,1949-07-01,85-77 Résidence Castors Isabella,13240.0,Septèmes-les-Vallons,M
27,Aït Ali,Tiago,1961-11-22,2 Impasse Poterne,13500.0,Martigues,M
28,Youssouf,Giulia,1945-02-13,24 Boulevard du Roi René,13100.0,Aix-en-Provence,F
29,Derderian,Rayan,1961-11-06,12 Cours Gambetta,13001.0,Marseille,M
30,Morel,Théo,1997-07-22,9 Avenue Jeanne d'Arc,13400.0,Aubagne,M
31,Pérez,Hagop,1951-05-27,6 Lotissement Barrière,13700.0,Marignane,M
32,Mchangama,Anziz,1952-11-18,16 Cours Gambetta,13001.0,Marseille,M
33,Bedrossian,Youssouf,1947-11-15,6 Cours Gambetta,13001.0,Marseille,M
34,Arnaud,Rania,1992-10-26,13 Cours Gambetta,13001.0,Marseille,F
35,Garcia,Lucas,1962-09-09,158 Boulevard de Sainte-Marguerite,13009.0,Marseille,M
36,Garcia,Louis,1972-02-26,55 Les cadestraux D113,13127.0,Vitrolles,M
37,Santoni,Aïssatou,1985-04-30,115 Avenue Louise Michel,13270.0,Fos-sur-Mer,F
38,Fabre,Manon,1992-07-20,37 Cours Gambetta,13001.0,Marseille,F
39,Zerari,Ava,1979-05-29,1 Traverse du Mont de Piété,13001.0,Marseille,F
40,Youssouf,Rania,2000-12-10,25 Rue Moulin d'Isnard,13300.0,Salon-de-Provence,F
41,Garcia,Garen,1945-04-18,14 Cours Gambetta,13001.0,Marseille,M
42,Rossi,Ana,1987-07-21,55 Rue des Romains,13270.0,Fos-sur-Mer,F
43,Dubois,Lucas,1971-06-23,650 Chemin de l'Aumône Vieille,13400.0,Aubagne,M
44,Pérez,Luca,1953-07-09,531 Allée de la Broquette,13170.0,Les Pennes-Mirabeau,M
45,Ferreira,Théo,1961-01-29,275 Rue d'Endoume,13007.0,Marseille,M
46,Belkacem,Théo,1951-11-19,755 Route nationale 8,13400.0,Aubagne,M
47,Gonzalez,Rayan,1970-11-20,23 Lotissement les Hauts de la Calèche,13190.0,Allauch,M
48,Benkhelifa,Antoine,1965-05-12,89 Boulevard Charles Livon,13007.0,Marseille,M
49,Dubois,Mehdi,1965-03-30,2 Lotissement L'Escaillon,13320.0,Bouc-Bel-Air,M
50,Attal,Zoé,1961-04-16,30 Grand'Rue,13012.0,Marseille,F
51,Belkacem,Nadia,1959-10-15,374 Avenue de Mazargues,13008.0,Marseille,F
52,Papadopoulos,Tom,1992-03-03,17 Rue Monclar,13100.0,Aix-en-Provence,M
53,Ziane,Tiago,1976-10-23,343 Rue d'Endoume,13007.0,Marseille,M
54,Fabre,Salma,1967-12-16,255 Avenue du Prado,13008.0,Marseille,F
55,Diallo,Hugo,1977-05-01,3 Cours Gambetta,13001.0,Marseille,M
56,Ricci,Salma,1951-04-15,15 Rue des Bouteilles,13100.0,Aix-en-Provence,F
57,Kassabian,Antoine,1962-08-01,450 chemin du Littoral,13016.0,Marseille,M
58,Ndiaye,Gabriel,1957-06-27,10 Avenue Guynemer,13700.0,Marignane,M
59,Ziane,Miguel,1963-07-31,5 Rue Monclar,13100.0,Aix-en-Provence,M
60,Benkhelifa,Karim,1963-04-23,4 Rue des Bagniers,13090.0,Aix-en-Provence,M
61,Bouzid,Saïd,1985-11-15,11 Rue Rouvière,13001.0,Marseille,M
62,Garcia,Hugo,1953-11-12,83 boulevard du Redon,13009.0,Marseille,M
63,Ferreira,Enzo,1987-06-11,10 Rue Charloun Rieu,13090.0,Aix-en-Provence,M
64,Giraud,Youssef,1992-11-24,14 Rue Fontange,13006.0,Marseille,M
65,Chakarian,Zoé,1993-09-09,2 Rue Méjanes,13100.0,Aix-en-Provence,F
66,Elbaz,Gabriel,1988-01-22,241 Rue d'Endoume,13007.0,Marseille,M
67,Perrot,Saïd,1988-11-29,32 Cours Gambetta,13001.0,Marseille,M
68,Martin,Saïd,1988-10-24,26 Cours Julien,13006.0,Marseille,M
69,Dias,Maya,1971-07-13,2 Rue Gabriel Sénac de Meilhan,13001.0,Marseille,F
70,Dubois,Carmen,1953-09-12,3 Avenue de Canto Perdrix,13500.0,Martigues,F
71,Dias,Bilal,1992-11-23,24 Boulevard du Roi René,13100.0,Aix-en-Provence,M
72,Kassabian,Sarah,1977-07-28,16 Rue Fontange,13006.0,Marseille,F
73,Fabre,Rayan,1954-10-21,134 Rue d'Endoume,13007.0,Marseille,M
74,Silva,Youssef,1983-03-25,18 Passage Léo Ferré,13003.0,Marseille,M
75,Martin,Karim,1955-11-15,7 bis Rue de la Glacière,13100.0,Aix-en-Provence,M
76,Diallo,Mamadou,1947-03-07,8 Boulevard Jean Mermoz,13380.0,Plan-de-Cuques,M
77,Bedrossian,Théo,1971-01-18,77 Cours Gambetta,13001.0,Marseille,M
78,Aït Ali,Hugo,1984-01-11,16a Rue de la Grande Armée,13001.0,Marseille,M
79,Zerari,Raphaël,1955-11-30,424 Avenue de Mazargues,13008.0,Marseille,M
80,Mchangama,Luca,1969-10-27,318 Avenue de Mazargues,13008.0,Marseille,M
81,Bensaïd,Hugo,1964-04-14,20 Traverse Montcault,13013.0,Marseille,M
82,Martin,Mathis,1974-05-04,1270 Avenue Jean Monnet,13127.0,Vitrolles,M
83,Gonzalez,Ilyes,1975-01-08,19 Avenue Roger Salengro,13400.0,Aubagne,M
84,Djaé,Beatriz,1951-06-02,20 Cours Gambetta,13001.0,Marseille,F
85,Cohen,Lucie,1976-02-07,20 Cours Gambetta,13001.0,Marseille,F
86,Silva,Raphaël,1944-11-06,12bis Quai des Anglais,13500.0,Martigues,M
87,Assayag,Tom,1973-07-26,Lots 25 zi la Feuillane,13270.0,Fos sur Mer,M
88,Martin,Gabriel,1959-09-06,322 Avenue de Mazargues,13008.0,Marseille,M
89,Öztürk,Karim,1977-05-23,3 Traverse Chicot,13012.0,Marseille,M
90,Saïdi,Fatou,1995-05-28,11 Avenue Notre-Dame,13260.0,Cassis,F
91,Diallo,Samuel,1950-02-27,67 Cours Gambetta,13001.0,Marseille,M
92,Bonnet,Moussa,1950-04-08,12bis Quai des Anglais,13500.0,Martigues,M
93,Zerari,Miguel,1984-06-05,397 Corniche du Président John Fitzgerald Kennedy,13007.0,Marseille,M
94,Dubois,Kenza,1960-11-13,79 Cours Julien,13006.0,Marseille,F
95,Girard,Javier,1995-02-12,21 Quai François Mitterrand,13600.0,La Ciotat,M
96,Girard,Sarah,1970-04-03,14 Rue Fontange,13006.0,Marseille,F
97,Traoré,Noah,1969-03-14,45 Cours Gambetta,13001.0,Marseille,M
98,Rossi,Léa,1994-10-29,26 Plage de l'Estaque,13016.0,Marseille,F
99,Konaté,Amina,1983-02-25,27 Cours Gambetta,13001.0,Marseille,F
100,Bonnet,Jade,1947-04-06,247 Boulevard Beaurivage,13600.0,La Ciotat,F
101,Papadopoulos,Miguel,1987-01-11,20 Traverse Montcault,13013.0,Marseille,M
102,Giraud,Imane,1999-02-22,55 Cours Gambetta,13001.0,Marseille,F
103,Casabianca,Camille,1971-04-10,61 Cours Gambetta,13001.0,Marseille,F
104,Haddad,Noah,1952-01-23,36B Rue Espariat,13100.0,Aix-en-Provence,M
105,Ferreira,Noah,1961-04-05,199 Rue d'Endoume,13007.0,Marseille,M
106,Karamanoukian,Matteo,1971-05-15,1 Avenue Jules Cantini,13006.0,Marseille,M
107,Abdou,Gabriel,1950-04-09,111 Traverse Montcault,13013.0,Marseille,M
108,Mokrani,Giulia,1963-12-28,77 Cours Gambetta,13001.0,Marseille,F
109,Morel,Noah,2001-01-10,1 Rue Bouèno Carrièro,13100.0,Aix-en-Provence,M
110,Fernandez,Sarah,1991-08-22,69 Cours Gambetta,13001.0,Marseille,F
111,Dias,Antoine,1958-08-30,324 Rue d'Endoume,13007.0,Marseille,M
112,Attal,Meline,1971-03-04,6 Cours Gambetta,13001.0,Marseille,F
113,Elbaz,Ava,1953-06-26,253 et 249 au 245 Résidence Castors Isabella,13240.0,Septèmes-les-Vallons,F
114,Bedrossian,Camille,1976-06-21,44 Chemin du Bord de Crau,13800.0,Istres,F
115,Morel,Youssouf,1983-02-09,6 Lotissement Sanse,13700.0,Marignane,M
116,Garcia,Léa,1972-09-21,134 Rue d'Endoume,13007.0,Marseille,F
117,Benali,Maya,1957-03-30,11 Rue Gabriel Sénac de Meilhan,13001.0,Marseille,F
118,Abdou,David,1988-05-17,1 Traverse du Mont de Piété,13001.0,Marseille,M
119,Youssouf,Rayan,1978-11-20,6 Impasse du Trélus,13800.0,Istres,M
120,Morel,Lucas,1949-01-09,5 Rue de la Verdière,13090.0,Aix-en-Provence,M
121,Abdou,Mamadou,1973-02-09,130 Avenue du Vent des Dames,13800.0,Istres,M
122,Silva,Mathis,1974-12-26,45 Montaigne,13012.0,Marseille,M
123,Ndiaye,Ahmed,1951-02-08,6 Ancien Chemin de Château Gombert,13013.0,Marseille,M
